,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,clusters,cluster
1501,Twenty Somethings: Austin,SHOW,2021,TV-MA,30,['reality'],United States of America (the),1,tt15204216,6,427,0,light pink
1502,The Parisian Agency: Exclusive Properties,SHOW,2021,TV-14,54,['reality'],France,2,tt14746934,7.4,593,0,light pink
1503,Penguin Town,SHOW,2021,TV-G,30,"['documentation', 'drama', 'family', 'comedy']",South Africa,1,tt14677850,7.9,824,0,light pink
1504,Kitz,SHOW,2021,TV-MA,44,"['thriller', 'drama']",Austria,1,tt12104930,5.7,2302,0,light pink
1505,This Is Pop,SHOW,2021,TV-MA,44,"['music', 'documentation']",Canada,1,tt14155414,6.9,1076,0,light pink
1506,Luna Park,SHOW,2021,TV-MA,50,"['drama', 'romance']",Italy,1,tt15349110,6.4,691,0,light pink
1507,Forecasting Love and Weather,SHOW,2022,TV-14,66,"['drama', 'romance']",Korea (the Republic of),1,tt15140592,7.2,1016,0,light pink
1508,Amend: The Fight for America,SHOW,2021,TV-MA,59,"['war', 'documentation', 'history']",United States of America (the),1,tt13972246,7.8,1281,0,light pink
1509,Go Dog Go,SHOW,2021,TV-Y,24,['animation'],United States of America (the),2,tt10687202,7.2,179,0,light pink
1510,Selling Tampa,SHOW,2021,TV-MA,40,['reality'],United States of America (the),1,tt16227948,4.4,708,0,light pink
1511,Elves,SHOW,2021,TV-14,24,"['fantasy', 'horror', 'thriller', 'family', 'drama', 'scifi']",Denmark,1,tt13231962,5.5,4075,0,light pink
1512,Light the Night,SHOW,2021,TV-MA,57,"['drama', 'thriller', 'crime']",Taiwan (Province of China),3,tt15808044,7.4,968,0,light pink
1513,800 Meters,SHOW,2022,TV-MA,52,"['documentation', 'crime']",Spain,1,tt13323170,6.9,459,0,light pink
1514,Action Pack,SHOW,2022,TV-Y,28,"['action', 'comedy', 'family', 'fantasy', 'scifi', 'animation']",United States of America (the),1,tt15527308,6.5,66,0,light pink
1515,Pui Pui Molcar,SHOW,2021,TV-Y7,2,"['animation', 'comedy', 'family']",Japan,1,tt14202738,8.1,335,0,light pink
1516,Generation 56K,SHOW,2021,TV-14,30,"['comedy', 'drama', 'romance']",Italy,1,tt13524842,7.4,2317,0,light pink
1517,Call My Agent Bollywood,SHOW,2021,TV-MA,45,"['drama', 'comedy']",India,1,tt13282662,7.4,6162,0,light pink
1518,Elite Short Stories: Omar Ander Alexis,SHOW,2021,TV-MA,12,"['drama', 'crime', 'thriller']",Spain,1,tt14676004,7.3,1903,0,light pink
1519,"Young, Famous & African",SHOW,2022,TV-MA,43,['reality'],South Africa,1,tt15302054,4.6,354,0,light pink
1520,Elite Short Stories: Carla Samuel,SHOW,2021,TV-MA,14,"['drama', 'romance']",Spain,1,tt14675560,6.9,2609,0,light pink
1521,Kid Cosmic,SHOW,2021,TV-Y7,23,"['action', 'comedy', 'family', 'fantasy', 'scifi', 'animation']",United States of America (the),3,tt9248538,7.9,1354,0,light pink
1522,Framed! A Sicilian Murder Mystery,SHOW,2022,TV-MA,31,"['comedy', 'crime']",Italy,1,tt16745502,6.8,900,0,light pink
1523,AlRawabi School for Girls,SHOW,2021,TV-14,48,['drama'],Jordan,1,tt10183912,7.4,5708,0,light pink
1524,Until Life Do Us Part,SHOW,2021,TV-MA,41,['drama'],Portugal,1,tt13053042,7.4,631,0,light pink
1525,50M2,SHOW,2021,TV-MA,49,"['comedy', 'drama', 'thriller', 'crime']",Turkey,1,tt11617848,6.9,5516,0,light pink
1526,Savage Rhythm,SHOW,2022,TV-MA,38,"['drama', 'music']",Colombia,1,tt17076336,6.3,28,0,light pink
1527,Coming Out Colton,SHOW,2021,TV-MA,36,['reality'],United States of America (the),1,tt14527650,6.7,1087,0,light pink
