,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,clusters,cluster
0,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",United Kingdom of Great Britain and Northern Ireland (the),4,tt0063929,8.8,72895,3,dark pruple
1,Seinfeld,SHOW,1989,TV-PG,24,['comedy'],United States of America (the),9,tt0098904,8.9,302700,2,purple
2,Knight Rider,SHOW,1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",United States of America (the),4,tt0083437,6.9,33760,0,light pink
3,Thomas & Friends,SHOW,1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",United Kingdom of Great Britain and Northern Ireland (the),24,tt0086815,6.5,4948,0,light pink
4,Saved by the Bell,SHOW,1989,TV-G,23,"['comedy', 'romance', 'family']",United States of America (the),5,tt0096694,7.1,34854,0,light pink
5,Wheel of Fortune,SHOW,1983,TV-G,26,['family'],United States of America (the),39,tt0072584,6.7,3126,0,light pink
6,Major Dad,SHOW,1989,TV-PG,24,"['comedy', 'family']",United States of America (the),4,tt0096643,6.4,2866,0,light pink
7,Fireman Sam,SHOW,1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",United Kingdom of Great Britain and Northern Ireland (the),13,tt0329829,6.1,1759,0,light pink
8,Danger Mouse,SHOW,1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",United Kingdom of Great Britain and Northern Ireland (the),10,tt0081848,7.4,3514,0,light pink
9,High Risk,SHOW,1988,TV-PG,50,['comedy'],United States of America (the),1,tt0094478,3.8,6,0,light pink
10,Survivor,SHOW,2000,TV-PG,48,['reality'],United States of America (the),42,tt0239195,7.4,24368,0,light pink
11,Stargate SG-1,SHOW,1997,TV-PG,44,"['scifi', 'drama', 'action']",United States of America (the),10,tt0118480,8.4,90196,3,dark pruple
12,Pokémon,SHOW,1997,TV-Y7,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",Japan,24,tt0168366,7.6,172,0,light pink
13,One Piece,SHOW,1999,TV-14,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",Japan,21,tt0388629,8.8,112586,3,dark pruple
14,Cowboy Bebop,SHOW,1998,TV-14,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",Japan,1,tt0213338,8.9,112887,3,dark pruple
15,Star Trek: Deep Space Nine,SHOW,1993,TV-PG,47,"['scifi', 'action', 'drama']",United States of America (the),7,tt0106145,8.1,61145,3,dark pruple
16,The Challenge,SHOW,1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",United States of America (the),37,tt0176095,7.8,3274,0,light pink
17,Gilmore Girls,SHOW,2000,TV-14,46,"['comedy', 'drama']",United States of America (the),8,tt0238784,8.2,119054,3,dark pruple
18,Neon Genesis Evangelion,SHOW,1995,TV-14,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",Japan,1,tt0112159,8.5,64727,3,dark pruple
19,The Magic School Bus,SHOW,1994,TV-Y,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']",United States of America (the),4,tt0108847,7.8,9708,0,light pink
20,Power Rangers,SHOW,1993,TV-Y7,22,"['scifi', 'action', 'fantasy', 'family']",United States of America (the),29,tt0106064,6.5,21949,0,light pink
21,Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",United States of America (the),4,tt0222518,6.2,3808,0,light pink
22,Goosebumps,SHOW,1995,TV-PG,22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']",Canada,4,tt0111987,7.6,13361,0,light pink
23,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",Japan,7,tt4834194,7.2,20888,0,light pink
24,InuYasha,SHOW,2000,TV-14,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",Japan,9,tt0290223,7.9,15823,0,light pink
25,Barney & Friends,SHOW,1992,TV-G,28,['family'],United States of America (the),14,tt0144701,3.8,9955,0,light pink
26,Moesha,SHOW,1996,TV-PG,21,"['drama', 'comedy', 'family']",United States of America (the),6,tt0115275,5.7,3713,0,light pink
27,"Sister, Sister",SHOW,1994,TV-PG,22,"['comedy', 'drama', 'family']",United States of America (the),6,tt0108927,6.2,12535,0,light pink
28,Cardcaptor Sakura,SHOW,1998,TV-Y7,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",Japan,4,tt0221735,8,4936,0,light pink
29,Girlfriends,SHOW,2000,TV-PG,21,"['comedy', 'drama']",United States of America (the),8,tt0247102,7.2,4482,0,light pink
30,The Parkers,SHOW,1999,TV-PG,19,['comedy'],United States of America (the),5,tt0200353,6.8,2346,0,light pink
31,Dale's Supermarket Sweep,SHOW,1993,TV-G,21,[],United Kingdom of Great Britain and Northern Ireland (the),8,tt0962853,7.1,39,0,light pink
32,Oggy and the Cockroaches,SHOW,1999,TV-Y7,9,"['comedy', 'family', 'action', 'animation', 'european']",France,7,tt0213363,7.4,4185,0,light pink
33,H,SHOW,1998,TV-MA,25,['comedy'],France,4,tt0173554,7.4,1703,0,light pink
34,Heartbreak High,SHOW,1994,TV-MA,47,"['drama', 'romance', 'comedy']",Australia,7,tt0108800,7.8,3106,0,light pink
35,Okupas,SHOW,2000,TV-MA,40,"['crime', 'drama']",Argentina,1,tt0289649,9,2326,0,light pink
36,Breaking Bad,SHOW,2008,TV-MA,48,"['drama', 'thriller', 'crime']",United States of America (the),5,tt0903747,9.5,1727694,1,pink
37,The Walking Dead,SHOW,2010,TV-MA,46,"['action', 'drama', 'scifi', 'thriller', 'horror']",United States of America (the),11,tt1520211,8.2,945125,1,pink
38,The Staircase,SHOW,2004,TV-MA,49,"['crime', 'documentation', 'drama']",France,2,tt0388644,7.8,21531,0,light pink
39,Downton Abbey,SHOW,2010,TV-14,58,"['drama', 'romance', 'european']",United Kingdom of Great Britain and Northern Ireland (the),6,tt1606375,8.7,197744,3,dark pruple
40,Grey's Anatomy,SHOW,2005,TV-14,49,"['drama', 'romance']",United States of America (the),18,tt0413573,7.6,293618,2,purple
41,The Great British Baking Show,SHOW,2010,TV-PG,57,"['reality', 'european']",United Kingdom of Great Britain and Northern Ireland (the),12,tt1877368,8.6,9564,0,light pink
42,Criminal Minds,SHOW,2005,TV-14,44,"['thriller', 'crime', 'drama']",United States of America (the),15,tt0452046,8.1,189191,3,dark pruple
43,NCIS,SHOW,2003,TV-14,44,"['action', 'drama', 'crime', 'thriller', 'comedy']",United States of America (the),19,tt0364845,7.8,141049,3,dark pruple
44,Community,SHOW,2009,TV-PG,23,['comedy'],United States of America (the),6,tt1439629,8.5,252564,2,purple
45,Heartland,SHOW,2007,TV-PG,44,"['drama', 'family']",Canada,15,tt1094229,8.4,15743,0,light pink
46,Supernatural,SHOW,2005,TV-14,45,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",United States of America (the),15,tt0460681,8.5,428639,2,purple
47,Arrested Development,SHOW,2003,TV-MA,28,['comedy'],United States of America (the),5,tt0367279,8.7,297552,2,purple
48,The IT Crowd,SHOW,2006,TV-14,25,"['comedy', 'european']",United Kingdom of Great Britain and Northern Ireland (the),5,tt0487831,8.5,147409,3,dark pruple
49,30 Rock,SHOW,2006,TV-14,25,"['comedy', 'sport']",United States of America (the),7,tt0496424,8.3,121514,3,dark pruple
50,Avatar: The Last Airbender,SHOW,2005,TV-Y7,24,"['scifi', 'family', 'fantasy', 'animation', 'action']",United States of America (the),3,tt0417299,9.3,297336,2,purple
51,Friday Night Lights,SHOW,2006,TV-14,43,"['drama', 'sport']",United States of America (the),5,tt0758745,8.7,64449,3,dark pruple
52,My Little Pony: Friendship Is Magic,SHOW,2010,TV-Y7,22,"['scifi', 'animation', 'drama', 'fantasy', 'music', 'comedy', 'family']",Canada,9,tt1751105,7.6,20708,0,light pink
53,The Fairly OddParents,SHOW,2001,TV-Y7,24,"['scifi', 'family', 'fantasy', 'animation', 'comedy']",United States of America (the),10,tt0235918,7.2,38046,0,light pink
54,Sonic X,SHOW,2003,TV-Y7,21,"['action', 'drama', 'thriller', 'animation', 'comedy', 'fantasy', 'family', 'scifi']",Japan,3,tt0367413,6.1,4577,0,light pink
55,DEATH NOTE,SHOW,2006,TV-14,24,"['scifi', 'animation', 'crime', 'drama', 'fantasy', 'thriller']",Japan,1,tt0877057,9,302147,2,purple
56,The Vampire Diaries,SHOW,2009,TV-14,42,"['scifi', 'drama', 'thriller', 'fantasy', 'horror', 'romance']",United States of America (the),8,tt1405406,7.7,310776,2,purple
57,Naruto,SHOW,2002,TV-PG,23,"['scifi', 'comedy', 'animation', 'action', 'fantasy', 'thriller']",Japan,6,tt0409591,8.4,93980,3,dark pruple
58,America's Next Top Model,SHOW,2003,TV-14,44,['reality'],United States of America (the),24,tt0391576,5.6,17843,0,light pink
59,Chappelle's Show,SHOW,2003,TV-14,21,"['comedy', 'music']",United States of America (the),3,tt0353049,8.8,62140,3,dark pruple
60,Trailer Park Boys,SHOW,2001,TV-MA,25,"['comedy', 'crime']",Canada,12,tt0290988,8.6,41791,0,light pink
61,Borgen,SHOW,2010,TV-MA,58,"['drama', 'european']",Denmark,4,tt1526318,8.5,23523,0,light pink
62,iCarly,SHOW,2007,TV-G,26,"['comedy', 'family', 'romance']",United States of America (the),6,tt0972534,6.7,38281,0,light pink
63,Victorious,SHOW,2010,TV-G,25,"['comedy', 'drama', 'family', 'music', 'romance', 'sport']",United States of America (the),4,tt1604099,6.9,24224,0,light pink
64,Merlin,SHOW,2008,TV-PG,44,"['action', 'scifi', 'drama', 'fantasy', 'european']",United Kingdom of Great Britain and Northern Ireland (the),5,tt1199099,7.9,80138,3,dark pruple
65,Gurren Lagann,SHOW,2007,TV-14,24,"['scifi', 'action', 'comedy', 'drama', 'animation']",Japan,1,tt0948103,8.3,17024,0,light pink
66,Code Geass: Lelouch of the Rebellion,SHOW,2006,TV-14,24,"['scifi', 'animation', 'action', 'drama', 'thriller', 'war']",Japan,3,tt0994314,8.7,62367,3,dark pruple
67,Transformers: Prime,SHOW,2010,TV-Y7,22,"['action', 'comedy', 'drama', 'family', 'scifi', 'animation']",United States of America (the),4,tt1659175,7.9,6500,0,light pink
68,The Mole,SHOW,2001,TV-14,52,['reality'],United States of America (the),5,tt0294149,7.6,1104,0,light pink
69,The 4400,SHOW,2004,TV-14,44,"['scifi', 'thriller', 'drama']",United States of America (the),4,tt0389564,7.3,44971,0,light pink
70,Still Game,SHOW,2002,TV-14,29,"['comedy', 'european']",United Kingdom of Great Britain and Northern Ireland (the),9,tt0281491,8.9,7539,0,light pink
71,Midnight Diner,SHOW,2009,TV-MA,27,"['drama', 'comedy']",Japan,5,tt1882928,8.6,2110,0,light pink
72,H2O: Just Add Water,SHOW,2006,TV-PG,25,"['drama', 'scifi', 'fantasy', 'family']",Australia,3,tt0491603,7.2,14782,0,light pink
73,Black Butler,SHOW,2008,TV-MA,25,"['scifi', 'fantasy', 'animation', 'comedy', 'drama', 'thriller', 'crime', 'horror', 'action']",Japan,3,tt1316554,8.3,1856,0,light pink
74,Octonauts,SHOW,2010,TV-Y,15,"['action', 'animation', 'comedy', 'family']",United Kingdom of Great Britain and Northern Ireland (the),6,tt1710177,7.6,1049,0,light pink
75,Strawberry Shortcake,SHOW,2003,TV-Y,23,"['animation', 'family']",United States of America (the),4,tt7996132,7,13,0,light pink
76,Total Drama Island,SHOW,2007,TV-PG,23,"['action', 'reality', 'animation', 'family', 'comedy', 'drama']",Canada,6,tt1173427,7.4,10523,0,light pink
77,Boys Over Flowers,SHOW,2009,TV-14,64,"['comedy', 'drama', 'romance']",Korea (the Republic of),1,tt1370334,7.9,11579,0,light pink
78,Winx Club,SHOW,2004,TV-G,23,"['action', 'comedy', 'family', 'fantasy', 'animation', 'thriller', 'european']",Italy,8,tt3233214,6.2,6700,0,light pink
79,Big Time Rush,SHOW,2009,TV-G,25,"['comedy', 'family']",United States of America (the),4,tt1131746,6.3,12046,0,light pink
80,Dead Set,SHOW,2008,TV-MA,141,"['scifi', 'thriller', 'comedy', 'drama', 'horror', 'european']",United Kingdom of Great Britain and Northern Ireland (the),1,tt1285482,7.6,19684,0,light pink
81,Toradora!,SHOW,2008,TV-14,30,"['animation', 'romance', 'comedy', 'drama']",Japan,2,tt1279024,8,14307,0,light pink
82,Shaun the Sheep,SHOW,2007,TV-G,7,"['animation', 'comedy', 'family', 'european']",United Kingdom of Great Britain and Northern Ireland (the),6,tt0983983,8,25,0,light pink
83,Scare Tactics,SHOW,2003,TV-14,22,"['comedy', 'horror', 'reality', 'scifi', 'thriller']",United States of America (the),5,tt0339968,6.7,2512,0,light pink
84,Pocoyo,SHOW,2005,TV-G,11,"['animation', 'family', 'comedy', 'european']",Spain,4,tt0487849,3.9,93,0,light pink
85,The Game,SHOW,2006,TV-14,22,"['comedy', 'drama', 'sport', 'romance']",United States of America (the),10,tt10020984,6.6,4417,0,light pink
86,Angel Beats!,SHOW,2010,TV-14,26,"['scifi', 'action', 'comedy', 'drama', 'fantasy', 'animation']",Japan,1,tt1639109,7.7,13848,0,light pink
87,Masha and the Bear,SHOW,2009,TV-Y,6,"['comedy', 'family', 'action', 'animation']",Russian Federation (the),5,tt1884856,7.6,3114,0,light pink
88,Monty Python: Almost the Truth (The Lawyer's Cut),SHOW,2009,TV-MA,55,"['comedy', 'documentation']",United States of America (the),1,tt1422182,8.1,1740,0,light pink
89,Ouran High School Host Club,SHOW,2006,TV-14,23,"['comedy', 'drama', 'animation', 'romance']",Japan,1,tt0816397,8.2,9763,0,light pink
90,The Ultimatum,SHOW,2009,TV-14,44,['drama'],Singapore,1,tt1682704,5.4,6,0,light pink
91,Mobile Suit Gundam Unicorn,SHOW,2010,TV-14,35,"['action', 'drama', 'scifi', 'war', 'animation']",Japan,2,tt1630623,7.8,1291,0,light pink
92,Johnny Test,SHOW,2005,TV-Y7,18,"['comedy', 'drama', 'family', 'scifi', 'animation', 'action']",Canada,6,tt15061770,5.1,8172,0,light pink
93,Code Lyoko,SHOW,2003,TV-G,24,"['action', 'fantasy', 'thriller', 'comedy', 'family', 'scifi', 'romance', 'animation']",France,5,tt0417311,7.3,5109,0,light pink
94,Iris,SHOW,2009,TV-14,61,"['action', 'comedy', 'reality', 'romance', 'thriller']",Korea (the Republic of),2,tt1399791,7.8,1951,0,light pink
95,DreamWorks Shrek's Swamp Stories,SHOW,2010,TV-PG,24,"['horror', 'music', 'animation', 'comedy', 'family', 'fantasy', 'scifi']",United States of America (the),1,tt6950338,6.5,330,0,light pink
96,Ben & Holly's Little Kingdom,SHOW,2009,TV-G,14,"['comedy', 'family', 'fantasy', 'animation', 'european']",United Kingdom of Great Britain and Northern Ireland (the),3,tt1436544,7.5,1222,0,light pink
97,The Garfield Show,SHOW,2009,TV-G,17,"['animation', 'comedy', 'family', 'european']",United States of America (the),5,tt1470837,5.3,2499,0,light pink
98,Wakfu,SHOW,2008,TV-Y7,22,"['action', 'drama', 'scifi', 'fantasy', 'animation', 'family', 'european']",France,3,tt1807824,8.1,1469,0,light pink
99,Vampire Knight,SHOW,2008,TV-14,25,"['scifi', 'romance', 'animation', 'action', 'drama', 'fantasy', 'horror']",Japan,2,tt1209393,7.3,5172,0,light pink
100,Den-noh Coil,SHOW,2007,TV-Y7,25,"['scifi', 'animation', 'comedy', 'drama']",Japan,1,tt1033796,7.9,863,0,light pink
101,One on One,SHOW,2001,TV-14,20,['comedy'],United States of America (the),5,tt0284770,7,2303,0,light pink
102,The Cartel,SHOW,2008,TV-MA,44,"['action', 'crime', 'drama', 'thriller', 'comedy']",Colombia,2,tt1260520,8.1,755,0,light pink
103,The Mafia Dolls,SHOW,2009,TV-14,43,"['drama', 'action']",Colombia,2,tt1585368,6.6,284,0,light pink
104,Einsatzgruppen: The Nazi Death Squads,SHOW,2009,TV-14,44,"['documentation', 'history', 'war', 'european']",France,1,tt6953928,7.6,603,0,light pink
105,Dreamworks Happy Holidays from Madagascar,SHOW,2005,TV-PG,0,"['animation', 'comedy', 'family']",United States of America (the),1,tt6929194,6.5,96,0,light pink
106,Half & Half,SHOW,2002,TV-14,21,['comedy'],United States of America (the),4,tt0320024,7,1827,0,light pink
107,Timmy Time,SHOW,2009,TV-Y,14,"['comedy', 'fantasy', 'animation', 'family', 'european']",United Kingdom of Great Britain and Northern Ireland (the),3,tt1125758,6.9,1083,0,light pink
108,Vientos de agua,SHOW,2006,TV-MA,72,['drama'],Spain,1,tt0459724,8.7,1034,0,light pink
109,Oscar's Oasis,SHOW,2010,TV-Y,9,"['animation', 'comedy', 'european']",France,1,tt2080922,7.4,572,0,light pink
110,Trotro,SHOW,2004,TV-G,3,"['animation', 'family', 'european']",France,2,tt1074443,6.2,120,0,light pink
111,Tayo the Little Bus,SHOW,2010,TV-Y,11,"['animation', 'comedy', 'family']",Korea (the Republic of),6,tt3270208,5.2,156,0,light pink
112,Autumn's Concerto,SHOW,2009,TV-14,58,"['drama', 'romance']",Taiwan (Province of China),1,tt3530668,7.9,475,0,light pink
113,DreamWorks Spooky Stories,SHOW,2009,TV-PG,26,['animation'],United States of America (the),1,tt6958564,6.2,19,0,light pink
114,Behind Enemy Lines,SHOW,2001,TV-14,49,['drama'],United States of America (the),1,tt5170230,7.2,42,0,light pink
115,Fated to Love You,SHOW,2008,TV-G,67,"['drama', 'comedy', 'romance']",Taiwan (Province of China),1,tt1483930,7.4,461,0,light pink
116,Nuevo Rico Nuevo Pobre,SHOW,2007,TV-MA,44,['comedy'],Colombia,1,tt1233451,7.2,203,0,light pink
117,Pecados capitales,SHOW,2002,TV-MA,43,"['comedy', 'drama', 'romance']",Colombia,1,tt0355119,8.5,190,0,light pink
118,Pedro El Escamoso,SHOW,2001,TV-14,0,"['drama', 'comedy']",Colombia,1,tt0283770,7.5,303,0,light pink
119,Monty Python's Personal Best,SHOW,2006,TV-PG,56,['comedy'],United States of America (the),1,tt0795156,7.9,437,0,light pink
120,El cartel 2 - La guerra total,SHOW,2010,TV-MA,44,"['action', 'crime', 'horror', 'thriller', 'war']",Colombia,1,tt1667724,6.8,228,0,light pink
121,Edge of the Universe,SHOW,2002,TV-G,49,['documentation'],United Kingdom of Great Britain and Northern Ireland (the),1,tt6951568,7.2,206,0,light pink
122,The Fierce Wife,SHOW,2010,TV-MA,59,['drama'],Taiwan (Province of China),1,tt4304720,6.8,90,0,light pink
123,The Hospital,SHOW,2006,TV-14,48,['drama'],Taiwan (Province of China),1,tt2823414,7.4,40,0,light pink
124,Black & White,SHOW,2009,TV-14,37,"['action', 'comedy', 'sport', 'crime']",Taiwan (Province of China),3,tt1508870,7.6,302,0,light pink
125,The Prince Who Turns into a Frog,SHOW,2005,TV-14,44,"['drama', 'romance', 'comedy']",Taiwan (Province of China),1,tt1454440,6.8,128,0,light pink
126,Cocaine,SHOW,2005,TV-14,44,"['documentation', 'european']",United States of America (the),1,tt0907286,7.1,60,0,light pink
127,Breakout,SHOW,2010,TV-14,44,"['drama', 'action']",Singapore,1,tt7131684,6.7,7,0,light pink
128,At Dolphin Bay,SHOW,2003,TV-14,59,"['drama', 'comedy', 'romance']",Taiwan (Province of China),1,tt8612066,6.9,39,0,light pink
129,Unriddle,SHOW,2010,TV-14,44,"['thriller', 'action', 'drama']",Singapore,2,tt12229764,8,25,0,light pink
130,Call the Midwife,SHOW,2012,TV-PG,56,"['drama', 'history', 'european']",United Kingdom of Great Britain and Northern Ireland (the),11,tt1983079,8.5,25562,0,light pink
131,New Girl,SHOW,2011,TV-14,21,"['comedy', 'romance']",United States of America (the),7,tt1826940,7.7,216209,3,dark pruple
132,Black Mirror,SHOW,2011,TV-MA,59,"['scifi', 'thriller', 'drama', 'european']",United Kingdom of Great Britain and Northern Ireland (the),5,tt2085059,8.8,515577,2,purple
133,Longmire,SHOW,2012,TV-14,53,"['western', 'action', 'crime', 'drama']",United States of America (the),6,tt1836037,8.3,34362,0,light pink
134,Shameless,SHOW,2011,TV-MA,54,"['drama', 'comedy']",United States of America (the),11,tt1586680,8.6,230243,2,purple
135,Happy Endings,SHOW,2011,TV-14,21,"['comedy', 'romance']",United States of America (the),3,tt2311579,7.8,37778,0,light pink
136,Last Tango in Halifax,SHOW,2012,TV-14,59,"['comedy', 'drama', 'romance', 'european']",United Kingdom of Great Britain and Northern Ireland (the),5,tt2216156,8.3,6844,0,light pink
137,Ink Master,SHOW,2012,TV-14,42,['reality'],United States of America (the),13,tt1865740,7.4,3874,0,light pink
138,Top Boy,SHOW,2011,TV-MA,48,"['drama', 'thriller', 'crime', 'european']",United Kingdom of Great Britain and Northern Ireland (the),2,tt1830379,8.4,22420,0,light pink
139,Hunter x Hunter,SHOW,2011,TV-14,23,"['drama', 'action', 'comedy', 'crime', 'animation', 'documentation', 'family', 'fantasy']",Japan,3,tt2098220,9,87857,3,dark pruple
140,Arrow,SHOW,2012,TV-14,42,"['action', 'crime', 'drama', 'scifi']",United States of America (the),8,tt2193021,7.5,425716,2,purple
141,The Legend of Korra,SHOW,2012,TV-Y7,23,"['action', 'scifi', 'comedy', 'drama', 'family', 'fantasy', 'animation']",United States of America (the),4,tt1695360,8.4,117464,3,dark pruple
142,Sword Art Online,SHOW,2012,TV-MA,23,"['scifi', 'action', 'animation', 'drama', 'western', 'comedy', 'fantasy', 'romance', 'thriller']",Japan,4,tt2250192,7.6,43727,0,light pink
143,The Borgias,SHOW,2011,TV-MA,51,"['drama', 'history', 'romance', 'crime']",Canada,3,tt1582457,7.9,50556,0,light pink
144,Ninjago: Masters of Spinjitzu,SHOW,2012,TV-Y7,17,"['scifi', 'comedy', 'family', 'fantasy', 'animation', 'action', 'european']",Denmark,15,tt1871731,7.2,4519,0,light pink
145,Puella Magi Madoka Magica,SHOW,2011,TV-14,24,"['scifi', 'thriller', 'animation', 'drama', 'fantasy']",Japan,1,tt1773185,8.3,9055,0,light pink
146,Transformers: Rescue Bots,SHOW,2012,TV-Y7,22,"['action', 'scifi', 'comedy', 'family', 'animation']",United States of America (the),4,tt2139371,6.4,915,0,light pink
147,Teen Mom 2,SHOW,2011,TV-14,41,"['reality', 'romance', 'documentation', 'comedy']",United States of America (the),11,tt1821220,4.5,28,0,light pink
148,Comedians in Cars Getting Coffee,SHOW,2012,TV-14,20,"['comedy', 'family', 'animation']",United States of America (the),11,tt2314952,8,12363,0,light pink
149,Lilyhammer,SHOW,2012,TV-MA,45,"['crime', 'comedy', 'drama']",Norway,3,tt1958961,7.9,29196,0,light pink
150,TIGER & BUNNY,SHOW,2011,TV-14,26,"['scifi', 'action', 'animation', 'comedy', 'crime']",Japan,2,tt2061527,7.3,998,0,light pink
151,Fate/Zero,SHOW,2011,TV-MA,25,"['scifi', 'action', 'animation', 'drama', 'fantasy', 'thriller']",Japan,2,tt2051178,8.2,12568,0,light pink
152,Blue Exorcist,SHOW,2011,TV-14,24,"['scifi', 'horror', 'family', 'animation', 'action', 'drama', 'fantasy']",Japan,2,tt1799631,7.5,12741,0,light pink
153,Barbie: Life in the Dreamhouse,SHOW,2012,TV-Y,6,"['animation', 'comedy', 'family']",United States of America (the),7,tt2644032,7.3,1806,0,light pink
154,anohana: The Flower We Saw That Day,SHOW,2011,TV-PG,23,"['drama', 'fantasy', 'romance', 'animation']",Japan,1,tt1913273,8.2,12682,0,light pink
155,Magi,SHOW,2012,TV-14,24,"['scifi', 'action', 'comedy', 'animation', 'fantasy']",Japan,3,tt2425098,7.8,3899,0,light pink
156,Cuckoo,SHOW,2012,TV-14,27,"['comedy', 'drama', 'european']",United Kingdom of Great Britain and Northern Ireland (the),5,tt2329333,5.9,20,0,light pink
157,My Babysitter's a Vampire,SHOW,2011,TV-PG,22,"['scifi', 'fantasy', 'horror', 'action', 'comedy']",United States of America (the),2,tt1727434,6.9,4367,0,light pink
158,Kuroko's Basketball,SHOW,2012,TV-14,24,"['animation', 'comedy', 'sport']",Japan,3,tt2348803,8.3,8052,0,light pink
159,Rita,SHOW,2012,TV-MA,40,"['comedy', 'drama', 'european']",Denmark,5,tt1973692,8.1,8718,0,light pink
160,Wolverine,SHOW,2011,TV-14,24,"['action', 'scifi', 'animation']",Japan,1,tt1847521,6.2,1458,0,light pink
161,LEGO City,SHOW,2011,TV-G,4,"['animation', 'european']",United Kingdom of Great Britain and Northern Ireland (the),3,tt7530250,5,37,0,light pink
162,MeatEater,SHOW,2012,TV-14,22,['documentation'],United States of America (the),10,tt2169245,7.5,1462,0,light pink
163,Outback Truckers,SHOW,2012,TV-14,44,"['reality', 'documentation']",Australia,9,tt5632186,7.4,264,0,light pink
164,LEGO Friends,SHOW,2012,TV-Y,16,"['animation', 'european']",United States of America (the),5,tt9148446,7.6,16,0,light pink
165,La Reina del Sur,SHOW,2011,TV-MA,42,"['drama', 'action', 'crime', 'thriller']",Mexico,2,tt1704637,8,2445,0,light pink
166,Pablo Escobar: The Drug Lord,SHOW,2012,TV-14,44,"['crime', 'drama', 'history', 'thriller']",Colombia,1,tt2187850,8.4,4923,0,light pink
167,Larva,SHOW,2011,TV-G,2,"['comedy', 'family', 'animation', 'drama', 'horror', 'thriller']",Korea (the Republic of),5,tt6966158,7.1,582,0,light pink
168,The Ultimate Braai Master,SHOW,2012,TV-PG,45,['reality'],South Africa,4,tt3264864,8.2,31,0,light pink
169,Minecraft: Story Mode,SHOW,2011,TV-PG,62,[],United States of America (the),1,tt10498322,5.5,300,0,light pink
170,EastSiders,SHOW,2012,TV-MA,22,"['drama', 'comedy']",United States of America (the),4,tt2558816,6.8,2723,0,light pink
171,Smile PreCure!,SHOW,2012,TV-Y7,22,"['comedy', 'action', 'scifi', 'family', 'fantasy', 'animation']",Japan,2,tt2230557,6.1,388,0,light pink
172,Robocar Poli,SHOW,2011,TV-Y,14,"['family', 'fantasy', 'animation', 'comedy']",Korea (the Republic of),4,tt4763642,5.8,125,0,light pink
173,Little Baby Bum,SHOW,2011,TV-Y,5,"['animation', 'family', 'music']",United Kingdom of Great Britain and Northern Ireland (the),4,tt10051854,6.4,94,0,light pink
174,The American Bible Challenge,SHOW,2012,TV-G,43,['family'],United States of America (the),3,tt2246424,6.4,125,0,light pink
175,Inside West Coast Customs,SHOW,2011,TV-PG,47,['reality'],United States of America (the),8,tt8358972,7.4,42,0,light pink
176,Masha's tales,SHOW,2012,TV-Y,5,"['animation', 'family']",Russian Federation (the),2,tt3840498,6.4,89,0,light pink
177,El Reemplazante,SHOW,2012,TV-MA,45,['drama'],Chile,2,tt2488050,8.5,755,0,light pink
178,Justin Time,SHOW,2011,TV-Y,15,"['action', 'animation', 'family', 'comedy']",Canada,3,tt1759210,6,16,0,light pink
179,Meet the Adebanjos,SHOW,2012,TV-PG,25,['comedy'],United Kingdom of Great Britain and Northern Ireland (the),3,tt2344781,7.6,76,0,light pink
180,The Oath,SHOW,2011,TV-14,44,['drama'],Singapore,1,tt7131686,7.9,9,0,light pink
181,Inborn Pair,SHOW,2011,TV-14,43,"['drama', 'comedy']",Taiwan (Province of China),1,tt6357282,7.1,108,0,light pink
182,Office Girls,SHOW,2011,TV-14,46,"['drama', 'comedy', 'romance']",Taiwan (Province of China),1,tt4381290,6.9,140,0,light pink
183,"Love, Now",SHOW,2012,TV-Y,45,"['drama', 'comedy']",Taiwan (Province of China),1,tt6273116,7.6,116,0,light pink
184,Masameer,SHOW,2011,TV-MA,0,"['comedy', 'animation']",Saudi Arabia,1,tt6298258,8.2,677,0,light pink
185,Drunken to Love You,SHOW,2011,TV-14,46,"['comedy', 'drama', 'romance']",Taiwan (Province of China),1,tt2661520,6.5,114,0,light pink
