,title,type,release_year,runtime,genres,production_countries,seasons,imdb_score,imdb_votes
961,Jackass Presents: Bad Grandpa .5,MOVIE,2014,86,['comedy'],['US'],,6.3,
962,The Night Shift,SHOW,2014,42,"['drama', 'romance', 'fantasy', 'horror', 'action', 'animation', 'comedy']",['US'],4,7.5,12069
963,The Next Step,SHOW,2013,24,"['drama', 'romance', 'family']",['CA'],7,5.9,1928
964,Mr. Peabody & Sherman,MOVIE,2014,92,"['action', 'family', 'animation', 'history', 'scifi', 'romance', 'comedy', 'fantasy']",['US'],,6.8,68790
965,Vampire Academy,MOVIE,2014,104,"['fantasy', 'horror', 'thriller', 'action', 'comedy', 'drama']",['US'],,5.4,54190
966,"I, Frankenstein",MOVIE,2014,92,"['horror', 'thriller', 'scifi', 'action', 'fantasy']","['AU', 'US']",,5.1,80733
967,Seventh Son,MOVIE,2014,120,"['fantasy', 'action']","['US', 'GB', 'CN', 'CA']",,5.5,76395
968,Velvet,SHOW,2014,57,"['drama', 'romance', 'thriller', 'action', 'crime', 'european']",['ES'],4,8.1,6018
969,Zach Stone Is Gonna Be Famous,SHOW,2013,20,['comedy'],['US'],1,8.3,3616
970,Sabotage,MOVIE,2014,109,"['drama', 'thriller', 'western', 'action', 'crime']",['US'],,5.7,63007
971,The Irregular at Magic High School,SHOW,2014,24,"['scifi', 'romance', 'animation', 'action', 'drama', 'fantasy']",['JP'],2,7.1,3273
972,The Railway Man,MOVIE,2013,116,"['drama', 'european', 'war', 'romance']","['GB', 'AU', 'CH']",,7.1,39743
973,Resurrection: Ertugrul,SHOW,2014,57,"['war', 'action', 'drama', 'history']",['TR'],5,7.9,35515
974,Dreamworks How to Train Your Dragon Legends,SHOW,2013,17,['animation'],['US'],1,7.3,264
975,Life of Crime,MOVIE,2013,94,"['comedy', 'crime']",['US'],,5.8,18793
976,Get on Up,MOVIE,2014,139,"['drama', 'music']",['US'],,6.9,24456
977,Rabbids Invasion,SHOW,2013,10,"['comedy', 'animation', 'family', 'european']","['FR', 'US']",4,5.5,1802
978,The November Man,MOVIE,2014,108,"['crime', 'action', 'thriller']","['GB', 'US']",,6.3,67243
979,The Cat in the Hat Knows a Lot About That!,SHOW,2013,19,"['animation', 'fantasy', 'scifi', 'comedy', 'family']","['US', 'GB', 'CA']",3,6.4,620
980,The Nut Job,MOVIE,2014,85,"['comedy', 'crime', 'family', 'animation']","['CA', 'KR']",,5.7,28295
981,Girlfriends' Guide to Divorce,SHOW,2014,42,"['comedy', 'drama']",['US'],5,6.9,4523
982,Brick Mansions,MOVIE,2014,90,"['crime', 'drama', 'action', 'thriller']","['CA', 'FR']",,5.6,42137
983,The Big Wedding,MOVIE,2013,90,"['comedy', 'drama', 'romance']",['US'],,5.6,49549
984,Tiny House Nation,SHOW,2014,43,['reality'],['US'],5,7.1,1126
985,Bonnie & Clyde,MOVIE,2013,240,"['drama', 'crime', 'european']",['AT'],,,
986,Talking Tom and Friends,SHOW,2014,11,"['comedy', 'drama', 'family', 'action', 'animation', 'fantasy', 'european']",['US'],5,6.1,411
987,The Battered Bastards of Baseball,MOVIE,2014,80,"['documentation', 'sport']",['US'],,8,3953
988,Who Am I,MOVIE,2014,105,"['thriller', 'european', 'drama', 'scifi', 'crime']",['DE'],,7.5,55044
989,Ever After High,SHOW,2013,30,"['action', 'comedy', 'drama', 'family', 'fantasy', 'music', 'romance', 'animation']",['CA'],5,7.7,1130
990,Yowamushi Pedal,SHOW,2013,24,"['comedy', 'drama', 'sport', 'animation']",['JP'],4,7.7,808
991,Sam & Cat,SHOW,2013,24,"['drama', 'family', 'comedy']",['US'],1,5.6,9507
992,Bo Burnham: What.,MOVIE,2013,60,"['comedy', 'music', 'documentation']",['US'],,8.3,11488
993,The Smurfs 2,MOVIE,2013,105,"['fantasy', 'animation', 'comedy', 'family']",['US'],,5.3,41571
994,Metallica: Through the Never,MOVIE,2013,93,['music'],['US'],,7.1,17433
995,Walk of Shame,MOVIE,2014,95,['comedy'],['US'],,6,54065
996,Search Party,MOVIE,2014,93,['comedy'],['US'],,5.6,7789
997,Stand by Me Doraemon,MOVIE,2014,90,"['fantasy', 'animation', 'comedy', 'drama', 'family', 'scifi']",['JP'],,7.3,7812
998,Thanks for Sharing,MOVIE,2013,112,"['drama', 'comedy', 'romance']",['US'],,6.4,28204
999,Copenhagen,MOVIE,2014,98,"['drama', 'romance']","['US', 'DK']",,7.1,13135
1000,Cowspiracy: The Sustainability Secret,MOVIE,2014,90,['documentation'],['US'],,8.2,24845
1001,The Heirs,SHOW,2013,59,"['drama', 'comedy', 'romance']",['KR'],1,7.5,10329
1002,The Haunting in Connecticut 2: Ghosts of Georgia,MOVIE,2013,101,"['horror', 'thriller', 'drama']",['US'],,5.2,17170
1003,Young & Hungry,SHOW,2014,21,"['comedy', 'drama', 'romance']",['US'],5,7.3,15627
1004,Mike Birbiglia: My Girlfriend's Boyfriend,MOVIE,2013,75,"['drama', 'documentation', 'comedy', 'romance']",['US'],,8,3284
1005,Elena,MOVIE,2013,82,"['documentation', 'european', 'drama', 'family']","['US', 'BR']",,7.6,1823
1006,"Nicky, Ricky, Dicky & Dawn",SHOW,2014,23,"['comedy', 'family']",['US'],4,5.1,2551
1007,Berserk: The Golden Age Arc III - The Advent,MOVIE,2013,110,"['fantasy', 'action', 'drama', 'horror', 'romance', 'animation']",['JP'],,7.8,9942
1008,Bill Burr: I'm Sorry You Feel That Way,MOVIE,2014,80,"['comedy', 'documentation']",['US'],,8.3,7954
1009,The Haunted Hathaways,SHOW,2013,24,"['comedy', 'family', 'fantasy']",['US'],2,5,2471
1010,A Haunted House 2,MOVIE,2014,86,"['comedy', 'horror', 'fantasy']",['US'],,4.6,21514
1011,Black Money Love,SHOW,2014,90,"['action', 'drama', 'romance', 'crime']",['TR'],2,7.4,5975
1012,Angry Birds Toons,SHOW,2013,2,"['comedy', 'family', 'fantasy', 'animation', 'action', 'european']",['FI'],4,6.2,800
1013,We Steal Secrets: The Story of WikiLeaks,MOVIE,2013,162,['documentation'],['US'],,6.9,7873
1014,Effie Gray,MOVIE,2014,85,"['drama', 'romance']",['GB'],,6,5482
1015,Free Birds,MOVIE,2013,91,"['comedy', 'family', 'scifi', 'animation']",['US'],,5.8,23917
1016,The Square,MOVIE,2013,88,"['drama', 'history', 'documentation']","['GB', 'US', 'EG']",,8.1,8949
1017,The Short Game,MOVIE,2013,100,"['documentation', 'sport']",['US'],,7.3,1518
1018,PK,MOVIE,2014,153,"['comedy', 'drama', 'romance', 'fantasy', 'scifi']",['IN'],,8.2,178012
1019,Underdogs,MOVIE,2013,106,"['romance', 'drama', 'documentation', 'sport', 'animation', 'family']","['AR', 'ES']",,6.5,9535
1020,Jinxed,MOVIE,2013,70,"['fantasy', 'comedy', 'family']","['CA', 'US']",,6.4,1444
1021,Mako Mermaids: An H2O Adventure,SHOW,2013,25,"['scifi', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']",['AU'],4,6.7,3924
1022,Swearnet: The Movie,MOVIE,2014,112,['comedy'],['CA'],,6.1,2652
1023,Company of Heroes,MOVIE,2013,100,['drama'],['US'],,,
1024,Tiger & Bunny: The Rising,MOVIE,2014,101,"['scifi', 'animation', 'action']",['JP'],,6.8,265
1025,Selfie,MOVIE,2014,123,"['comedy', 'documentation', 'drama', 'european']",['RO'],,6,1671
1026,Virunga,MOVIE,2014,90,"['war', 'documentation']","['CD', 'GB']",,8.2,11403
1027,Tom Segura: Completely Normal,MOVIE,2014,74,"['comedy', 'documentation']",['US'],,7.7,2570
1028,Buddies,MOVIE,2013,94,"['drama', 'comedy', 'documentation', 'european']",['BR'],,6.6,1076
1029,Chennai Express,MOVIE,2013,141,"['romance', 'comedy', 'drama', 'action']",['IN'],,6.1,53293
1030,Lalaloopsy,SHOW,2013,23,['animation'],['US'],3,6.4,104
1031,Senora Acero,SHOW,2014,43,"['crime', 'drama', 'romance']",['US'],5,6.8,375
1032,Monty Python: The Meaning of Live,MOVIE,2014,96,"['comedy', 'documentation']",['GB'],,7.6,574
1033,Pac-Man and the Ghostly Adventures,SHOW,2013,22,"['action', 'animation', 'comedy', 'drama', 'family', 'fantasy', 'scifi']","['US', 'CA', 'JP']",3,4.8,635
1034,Zbrodnia,SHOW,2014,45,"['crime', 'action']",['PL'],2,6.2,660
1035,LEGO DC Comics Super Heroes: Batman Be-Leaguered,MOVIE,2014,22,"['comedy', 'family', 'scifi', 'animation', 'action']",['US'],,6.5,1305
1036,Black Ink Crew New York,SHOW,2013,41,['reality'],['US'],9,4.6,459
1037,Nagi-Asu: A Lull in the Sea,SHOW,2013,23,"['scifi', 'animation', 'drama', 'fantasy', 'romance']",['JP'],2,7.3,1152
1038,The Berlin File,MOVIE,2013,120,"['thriller', 'action']",['KR'],,6.6,7103
1039,Omar,MOVIE,2013,96,"['thriller', 'war', 'crime', 'drama', 'romance']",['PS'],,7.5,14230
1040,Moving Art,SHOW,2014,28,"['documentation', 'family']",['US'],3,8.6,442
1041,VeggieTales in the House,SHOW,2014,18,"['comedy', 'family', 'music', 'animation']",['US'],4,4.3,300
1042,Dabbe: The Possession,MOVIE,2013,120,['horror'],['TR'],,6.8,5635
1043,Haider,MOVIE,2014,150,"['drama', 'action', 'crime', 'thriller']",['IN'],,8.1,54001
1044,2 States,MOVIE,2014,149,"['comedy', 'drama', 'romance']",['IN'],,6.9,25344
1045,Dragons: Dawn Of The Dragon Racers,MOVIE,2014,26,['fantasy'],['US'],,,
1046,Booba,SHOW,2014,4,"['comedy', 'family', 'animation']",['RU'],4,7,390
1047,20 Minutes,SHOW,2013,45,"['action', 'drama', 'romance']",['TR'],1,7.3,1681
1048,A Fairly Odd Summer,MOVIE,2014,68,"['fantasy', 'animation', 'comedy', 'family']",['US'],,4,533
1049,Blind Detective,MOVIE,2013,130,"['crime', 'drama', 'thriller', 'action', 'comedy']","['CN', 'HK']",,6.4,3255
1050,The Boss: Anatomy of a Crime,MOVIE,2014,98,"['drama', 'crime']","['VE', 'AR']",,7.3,2105
1051,Dérapages,SHOW,2014,53,"['drama', 'thriller']",['FR'],2,7.9,14
1052,Dokidoki! PreCure,SHOW,2013,23,"['action', 'animation', 'comedy', 'drama', 'fantasy', 'family']",['JP'],2,6.3,188
1053,Khoobsurat,MOVIE,2014,130,"['comedy', 'romance']",['IN'],,6.5,8330
1054,Monty Python: Live (Mostly),MOVIE,2014,138,"['comedy', 'documentation']",['GB'],,7.6,2598
1055,Miniforce,SHOW,2014,13,['animation'],['KR'],8,,
1056,Miss Granny,MOVIE,2014,124,"['drama', 'comedy', 'fantasy', 'music']",['KR'],,7.2,3433
1057,Highway,MOVIE,2014,133,"['drama', 'crime', 'romance']",['IN'],,7.6,28370
1058,Queen,MOVIE,2014,146,"['drama', 'comedy']",['IN'],,8.2,64805
1059,Expelled from Paradise,MOVIE,2014,104,"['scifi', 'animation', 'action']",['JP'],,6.7,1696
1060,Masha's Spooky Stories,SHOW,2014,5,"['animation', 'family']",['RU'],1,6.1,65
1061,LEGO Marvel Super Heroes: Maximum Overload,MOVIE,2013,20,"['action', 'animation']",['US'],,,
1062,All Hail King Julien,SHOW,2014,23,"['action', 'comedy', 'family', 'fantasy', 'animation']",['US'],5,7,2008
1063,Some Assembly Required,SHOW,2014,25,"['comedy', 'documentation', 'reality']",['CA'],4,8.5,22
1064,Incomplete Life,SHOW,2014,73,"['drama', 'comedy']",['KR'],1,8.6,1883
1065,Jim Gaffigan: Obsessed,MOVIE,2014,70,"['comedy', 'documentation']",['US'],,7.6,2226
1066,Mission Blue,MOVIE,2014,94,"['documentation', 'drama']",['US'],,7.9,1950
1067,From One Second to the Next,MOVIE,2013,34,['documentation'],['US'],,,
1068,The Meaning of Monty Python,MOVIE,2013,60,['documentation'],['US'],,,
1069,ABCD,MOVIE,2013,136,"['drama', 'music']",['IN'],,6.3,6898
1070,Pedal the World,MOVIE,2014,84,"['documentation', 'european']",['DE'],,5,1057
1071,City of God: 10 Years Later,MOVIE,2013,69,['documentation'],['BR'],,6.4,1299
1072,Birth Reborn,MOVIE,2013,91,"['documentation', 'family', 'history']",['BR'],,7.8,249
1073,Bombay Talkies,MOVIE,2013,127,['drama'],['IN'],,6.6,5372
1074,Kai Po Che!,MOVIE,2013,126,"['drama', 'sport']",['IN'],,7.8,36512
1075,My Beautiful Broken Brain,MOVIE,2014,84,['documentation'],['GB'],,7.1,2257
1076,Mitt,MOVIE,2014,93,"['documentation', 'family']",['US'],,6.9,2579
1077,Ragini MMS 2,MOVIE,2014,120,['horror'],['IN'],,3.9,2870
1078,Fukrey,MOVIE,2013,137,"['romance', 'comedy', 'drama']",['IN'],,6.9,11656
1079,Dedh Ishqiya,MOVIE,2014,152,"['drama', 'romance', 'thriller', 'comedy']",['IN'],,7,7179
1080,Hasee Toh Phasee,MOVIE,2014,141,"['comedy', 'romance']",['IN'],,6.8,14916
1081,Pizza,MOVIE,2014,107,"['horror', 'thriller']",['IN'],,6.2,1285
1082,Ankhon Dekhi,MOVIE,2014,104,"['drama', 'comedy']",['IN'],,8,11330
1083,Sniper: Legacy,MOVIE,2014,94,"['thriller', 'european']",['US'],,,
1084,"Raja, Rasoi Aur Anya Kahaniyaan",SHOW,2014,29,"['history', 'documentation']",['IN'],3,9,327
1085,Boss,MOVIE,2013,143,"['action', 'comedy', 'crime', 'drama']",['IN'],,5.3,11059
1086,"That Winter, the Wind Blows",SHOW,2013,63,['drama'],['KR'],1,7.6,1803
1087,Tea Time,MOVIE,2014,70,['documentation'],['CL'],,7.6,480
1088,When Love Happens,MOVIE,2014,109,['romance'],['NG'],,4.8,128
1089,Mary Kom,MOVIE,2014,122,"['drama', 'sport', 'action']",['IN'],,6.9,10656
1090,Dharmakshetra,SHOW,2014,44,['drama'],['IN'],1,8.2,247
1091,Four Sisters and a Wedding,MOVIE,2013,126,"['drama', 'comedy']",['PH'],,7.2,789
1092,Special 26,MOVIE,2013,144,"['thriller', 'crime', 'drama']",['IN'],,8,55489
1093,Once Upon a Time in Mumbai Dobaara!,MOVIE,2013,160,"['crime', 'drama', 'romance', 'action']",['IN'],,4.6,7127
1094,Swearnet Live,MOVIE,2014,75,['comedy'],['CA'],,5.4,519
1095,Jim Jefferies: Bare,MOVIE,2014,76,['comedy'],['US'],,8,5407
1096,Dabbe 5: Zehr-i Cin,MOVIE,2014,132,['horror'],['TR'],,6,3708
1097,The Perfect Dictatorship,MOVIE,2014,143,"['comedy', 'drama']",['MX'],,7.2,5370
1098,Imperial Dreams,MOVIE,2014,87,['drama'],['US'],,6.7,4452
1099,Liar's Dice,MOVIE,2013,104,"['drama', 'crime', 'thriller', 'family']",['IN'],,6.8,1069
1100,Silent,MOVIE,2014,3,"['animation', 'family', 'action']",['US'],,,
1101,El Mago Pop,MOVIE,2013,44,"['reality', 'european']",['ES'],,6.8,21
1102,Humpty Sharma Ki Dulhania,MOVIE,2014,133,"['drama', 'comedy', 'romance']",['IN'],,6,12757
1103,Print the Legend,MOVIE,2014,100,"['documentation', 'drama', 'history']",['US'],,7,1967
1104,The Butterfly's Dream,MOVIE,2013,138,"['drama', 'history', 'romance']",['TR'],,7.8,21882
1105,Jeff Dunham: All Over the Map,MOVIE,2014,41,['comedy'],"['IL', 'NO', 'ZA', 'AE', 'GB', 'IS', 'IE']",,7.1,854
1106,Against the Tide,SHOW,2014,44,['drama'],['SG'],1,7.6,11
1107,Bride for Rent,MOVIE,2014,115,"['comedy', 'romance']",['PH'],,6.4,584
1108,Ghanchakkar,MOVIE,2013,137,"['thriller', 'crime', 'comedy']",['IN'],,5.8,5019
1109,BoJack Horseman Christmas Special,MOVIE,2014,25,[],['US'],,,
1110,Aziz Ansari: Buried Alive,MOVIE,2013,79,"['comedy', 'documentation']",['US'],,7.2,3980
1111,Marc Maron: Thinky Pain,MOVIE,2013,90,['comedy'],['US'],,7.3,1876
1112,Naan Sigappu Manithan,MOVIE,2014,161,"['drama', 'thriller', 'action']",['IN'],,6.5,1081
1113,Turbo FAST,SHOW,2013,19,"['animation', 'family', 'comedy', 'sport', 'scifi', 'action']",['US'],3,6.5,593
1114,Born in Gaza,MOVIE,2014,69,"['documentation', 'european']",['ES'],,7.4,492
1115,Romantik Komedi 2: Bekarlığa Veda,MOVIE,2013,105,"['romance', 'comedy']",['XX'],,5.1,3357
1116,Free to Play,MOVIE,2014,75,"['documentation', 'action']","['UA', 'US', 'CN', 'DE', 'SG']",,7.9,13308
1117,"The Other One: The Long, Strange Trip of Bob Weir",MOVIE,2014,85,"['music', 'documentation']",['US'],,7.3,1649
1118,Inkaar,MOVIE,2013,133,"['drama', 'romance', 'thriller']",['IN'],,6.2,2565
1119,Sammy & Co,SHOW,2014,14,"['animation', 'european']",['US'],2,5.6,30
1120,Coming Soon,MOVIE,2014,134,"['drama', 'comedy', 'romance']",['TR'],,7.5,33714
1121,The Midas Touch,MOVIE,2013,99,['comedy'],['HK'],,5,183
1122,Refugiado,MOVIE,2014,95,"['drama', 'thriller', 'european']",['AR'],,6.4,365
1123,Ralphie May: Imperfectly Yours,MOVIE,2013,69,"['comedy', 'documentation']",['US'],,5.4,150
1124,Wedding Association,MOVIE,2013,106,['comedy'],['XX'],,7.1,22186
1125,Race 2,MOVIE,2013,150,"['thriller', 'crime', 'action']",['IN'],,5.3,16302
1126,Madras Cafe,MOVIE,2013,130,"['thriller', 'action', 'drama']",['IN'],,7.7,24319
1127,Deliha,MOVIE,2014,107,"['comedy', 'family', 'romance']",['TR'],,4.5,4315
1128,Confusion Na Wa,MOVIE,2013,105,"['crime', 'comedy', 'drama']",['NG'],,7,38
1129,Saheb Biwi Aur Gangster Returns,MOVIE,2013,142,"['drama', 'thriller', 'action', 'crime']",['IN'],,6.7,3978
1130,Ungli,MOVIE,2014,114,"['comedy', 'drama', 'thriller', 'crime']",['IN'],,5.8,3888
1131,Chashme Baddoor,MOVIE,2013,120,"['comedy', 'drama']",['IN'],,5.4,5121
1132,SampleThis,MOVIE,2013,85,"['documentation', 'music']",['US'],,6.4,466
1133,The War Against Women,MOVIE,2013,62,"['documentation', 'war']","['US', 'ES']",,7.3,74
1134,Ghadi,MOVIE,2013,100,"['drama', 'comedy', 'family']",['LB'],,7.3,1128
1135,Eyes of a Thief,MOVIE,2014,98,['drama'],['PS'],,6.6,443
1136,1-Oct,MOVIE,2014,149,['thriller'],['NG'],,6.4,424
1137,Mars at Sunrise,MOVIE,2014,75,['drama'],['US'],,7.8,43
1138,Satyagraha,MOVIE,2013,152,"['drama', 'documentation']",['IN'],,5.9,5127
1139,Bhaji in Problem,MOVIE,2013,130,"['romance', 'comedy']",['IN'],,7.3,1007
1140,Pagpag: Nine Lives,MOVIE,2013,105,['horror'],['PH'],,5.5,313
1141,100 Things to Do Before High School,MOVIE,2014,44,[],['US'],,,
1142,Trailer Park Boys: Live at the North Pole,MOVIE,2014,88,['comedy'],['CA'],,6.7,1091
1143,Must Be... Love,MOVIE,2013,100,"['romance', 'comedy']",['PH'],,6.4,522
1144,She's The One,MOVIE,2013,110,"['romance', 'comedy', 'drama']",['PH'],,6.3,205
1145,Trailer Park Boys - Live in F**kin' Dublin,MOVIE,2014,81,['comedy'],['CA'],,6.2,1548
1146,SDU: Sex Duties Unit,MOVIE,2013,94,['comedy'],['HK'],,5.9,479
1147,Theeya Velai Seiyyanum Kumaru,MOVIE,2013,125,"['comedy', 'drama', 'romance']",['IN'],,5.1,28
1148,Settai,MOVIE,2013,136,"['crime', 'comedy', 'action']",['IN'],,4.5,515
1149,Raja Natwarlal,MOVIE,2014,141,"['thriller', 'crime']",['IN'],,6.1,4280
1150,Chhota Bheem in the Incan Adventure,MOVIE,2013,64,"['animation', 'fantasy']",['XX'],,7.4,31
1151,Anjaan,MOVIE,2014,170,"['thriller', 'crime', 'action']",['IN'],,5.3,5018
1152,Cold Harbour,MOVIE,2014,93,"['thriller', 'action', 'crime']",['ZA'],,5.2,211
1153,Himmatwala,MOVIE,2013,150,"['drama', 'comedy', 'action']",['IN'],,1.7,8550
1154,Na Bangaaru Talli,MOVIE,2014,116,"['drama', 'family', 'thriller', 'crime']",['IN'],,7.2,160
1155,What the Fish,MOVIE,2013,98,"['drama', 'comedy']",['IN'],,5.2,210
1156,My Own Man,MOVIE,2014,82,"['drama', 'comedy', 'family', 'documentation']",['US'],,6.4,445
1157,One by Two,MOVIE,2014,139,"['romance', 'comedy', 'drama']",['IN'],,3.9,745
1158,The Land of Cards,MOVIE,2013,110,['fantasy'],['IN'],,5.6,407
1159,Starting Over Again,MOVIE,2014,130,"['romance', 'comedy', 'drama', 'documentation', 'european']",['PH'],,8.3,15
1160,It Takes a Man and a Woman,MOVIE,2013,120,"['comedy', 'drama', 'romance']",['PH'],,6.7,362
1161,Chelsea Handler: Uganda Be Kidding Me Live,MOVIE,2014,71,['comedy'],['US'],,5.8,1165
1162,Wyatt Cenac: Brooklyn,MOVIE,2014,67,['comedy'],['US'],,6.3,228
1163,Xenos,MOVIE,2013,12,['documentation'],['GB'],,7.8,
1164,Seven Souls in the Skull Castle,MOVIE,2013,179,"['drama', 'action', 'romance']",['JP'],,7.3,47
1165,Boss & Me,SHOW,2014,45,"['comedy', 'romance']",['CN'],1,7.3,424
1166,D.L. Hughley: Clear,MOVIE,2014,59,['comedy'],['US'],,6.9,249
1167,Giraffada,MOVIE,2014,85,"['drama', 'european']","['IT', 'PS', 'FR', 'DE']",,6.3,234
1168,Bobby Jasoos,MOVIE,2014,121,"['drama', 'comedy', 'thriller']",['IN'],,5.5,2310
1169,Anaamika,MOVIE,2014,124,['thriller'],['IN'],,5.5,260
1170,Mumbai Delhi Mumbai,MOVIE,2014,120,"['comedy', 'romance']",['IN'],,5.7,354
1171,Motu Patlu: Deep Sea Adventure,MOVIE,2014,75,"['comedy', 'action', 'family']",['IN'],,,
1172,A Place in the Stars,MOVIE,2014,112,"['drama', 'thriller']",['NG'],,6.2,19
1173,That Thing Called Tadhana,MOVIE,2014,110,"['romance', 'comedy', 'drama']",['PH'],,7.4,1050
1174,Gori Tere Pyaar Mein,MOVIE,2013,150,"['romance', 'comedy', 'drama']",['IN'],,4.9,3838
1175,Condom Lead,MOVIE,2013,15,['drama'],['PS'],,,
1176,She's Dating the Gangster,MOVIE,2014,105,"['romance', 'comedy', 'drama']",['PH'],,7,1079
1177,Deewana Main Deewana,MOVIE,2013,107,"['thriller', 'comedy', 'drama', 'romance']",['IN'],,2.6,374
1178,Two Fathers,SHOW,2013,44,"['comedy', 'drama']",['TW'],1,8,54
1179,Sommore: Chandelier Status,MOVIE,2013,75,['comedy'],['US'],,6.6,95
1180,E-Team,MOVIE,2014,88,"['documentation', 'war']",['US'],,7.1,873
1181,World at Your Feet,SHOW,2014,44,['drama'],['SG'],1,,
1182,The Royal Bengal Tiger,MOVIE,2014,107,['thriller'],['IN'],,6.9,874
1183,Gollu Aur Pappu,MOVIE,2014,112,['comedy'],['IN'],,3.8,118
1184,Mystic Whispers,SHOW,2014,26,"['comedy', 'romance']",['SG'],1,6.9,17
1185,Todd Glass Talks About Stuff,MOVIE,2013,46,['comedy'],['US'],,,
1186,The Amazing Praybeyt Benjamin,MOVIE,2014,105,"['drama', 'action', 'comedy', 'fantasy', 'romance']",['PH'],,4,195
1187,Diamonds in the Sky,MOVIE,2014,132,['drama'],['IN'],,7.4,10
1188,Doctor Bello,MOVIE,2013,95,"['drama', 'action']","['NG', 'US']",,4.8,54
1189,Chhota Bheem Aur Hanuman,MOVIE,2013,67,"['fantasy', 'animation']",['IN'],,7.1,33
1190,Chhota Bheem and the ShiNobi Secret,MOVIE,2013,63,['animation'],['IN'],,8.6,6
1191,Sigaram Thodu,MOVIE,2014,147,"['action', 'thriller']",['IN'],,6.1,458
1192,Ojo's in d' House,SHOW,2013,24,['comedy'],['NG'],1,6.1,11
1193,Flower Girl,MOVIE,2013,94,"['romance', 'comedy']",['NG'],,6,108
1194,Chhota Bheem Dus pe Dus,MOVIE,2014,62,['animation'],['XX'],,5.1,23
1195,Better Call Saul,SHOW,2015,49,"['comedy', 'drama', 'crime']",['US'],6,8.8,404920
1196,The Last Kingdom,SHOW,2015,55,"['action', 'war', 'drama', 'history', 'european']",['GB'],5,8.5,126473
1197,Stranger Things,SHOW,2016,52,"['scifi', 'drama', 'fantasy', 'horror', 'thriller']",['US'],5,8.7,989090
1198,Schitt's Creek,SHOW,2015,22,['comedy'],['CA'],6,8.5,112537
1199,Alone,SHOW,2015,48,"['reality', 'documentation']",['US'],8,8.4,4622
1200,Grace and Frankie,SHOW,2015,30,"['comedy', 'drama']",['US'],7,8.2,48435
1201,The Good Place,SHOW,2016,23,"['scifi', 'comedy', 'romance', 'drama', 'fantasy']",['US'],4,8.2,148562
1202,Ash vs Evil Dead,SHOW,2015,30,"['action', 'scifi', 'comedy', 'horror', 'fantasy', 'thriller']",['US'],3,8.4,70087
1203,One-Punch Man,SHOW,2015,24,"['action', 'fantasy', 'scifi', 'animation', 'comedy']",['JP'],2,8.7,148386
1204,Chicago Med,SHOW,2015,41,['drama'],['US'],8,7.6,24142
1205,Queen of the South,SHOW,2016,42,"['drama', 'thriller', 'action', 'crime']",['US'],5,7.9,28537
1206,The Crown,SHOW,2016,56,"['drama', 'history', 'european']","['US', 'GB']",5,8.7,190878
1207,Call My Agent!,SHOW,2015,55,"['comedy', 'drama', 'european']",['FR'],4,8.3,13331
1208,Hunt for the Wilderpeople,MOVIE,2016,101,"['comedy', 'drama', 'action']",['NZ'],,7.8,125720
1209,Hell or High Water,MOVIE,2016,102,"['western', 'thriller', 'action', 'crime', 'drama']",['US'],,7.6,224900
1210,Servant of the People,SHOW,2015,29,['comedy'],['UA'],3,7.3,2706
1211,Documentary Now!,SHOW,2015,22,['comedy'],['US'],4,8.1,6445
1212,It Follows,MOVIE,2015,101,"['horror', 'thriller']",['US'],,6.8,233165
1213,Forged in Fire,SHOW,2015,42,['reality'],['US'],9,8.3,3538
1214,Van Helsing,SHOW,2016,42,"['scifi', 'fantasy', 'horror', 'action', 'drama']",['US'],5,6.1,21852
1215,Food Wars! Shokugeki no Soma,SHOW,2015,24,"['animation', 'comedy', 'drama', 'fantasy', 'thriller']",['JP'],5,8.2,9651
1216,Lucifer,SHOW,2016,47,"['scifi', 'crime', 'drama', 'fantasy']",['US'],6,8.1,308291
1217,DC's Legends of Tomorrow,SHOW,2016,42,"['scifi', 'action', 'drama']",['US'],7,6.8,101178
1218,Raw,MOVIE,2016,98,"['horror', 'drama', 'fantasy', 'european']","['BE', 'FR']",,7,72460
1219,Kung Fu Panda 3,MOVIE,2016,95,"['comedy', 'animation', 'action', 'family', 'fantasy', 'drama']","['US', 'CN']",,7.1,152791
1220,Ouija: Origin of Evil,MOVIE,2016,99,"['thriller', 'horror', 'drama']",['US'],,5.3,6
1221,The Magicians,SHOW,2015,44,"['drama', 'scifi', 'fantasy']",['US'],5,7.6,49557
1222,Nocturnal Animals,MOVIE,2016,115,"['drama', 'thriller']",['US'],,7.5,264884
1223,The Gift,MOVIE,2015,108,"['thriller', 'drama', 'documentation']","['AU', 'US']",,7.1,151679
1224,The OA,SHOW,2016,55,"['scifi', 'drama', 'fantasy']",['US'],2,7.9,100911
1225,Kim's Convenience,SHOW,2016,22,['comedy'],['CA'],5,8.3,16970
1226,Sense8,SHOW,2015,62,"['scifi', 'thriller', 'drama']",['US'],2,8.2,151518
1227,War Dogs,MOVIE,2016,114,"['crime', 'drama', 'comedy', 'war']",['US'],,7.1,208185
1228,Blackhat,MOVIE,2015,133,"['thriller', 'action', 'crime']",['US'],,5.4,58192
1229,Crashing,SHOW,2016,30,"['comedy', 'european']",['GB'],1,7.7,18546
1230,Norsemen,SHOW,2016,30,"['comedy', 'drama']",['NO'],3,7.7,18040
