,title,type,release_year,age_certification,genres,production_countries,imdb_id,imdb_score,imdb_votes
4830,A Perfect Day for Arsenide,SHOW,2020,TV-MA,"['drama', 'romance']",['HK'],tt14592684,5.0,16.0
4831,Anatomy of a Scandal,SHOW,2022,TV-MA,"['drama', 'thriller']","['GB', 'US']",tt12748084,7.0,16425.0
4832,Heartstopper,SHOW,2022,TV-14,"['drama', 'romance']",['GB'],tt10638036,8.9,28978.0
4833,The Pentaverate,SHOW,2022,TV-MA,['comedy'],['US'],tt10203880,6.1,3409.0
4835,Inventing Anna,SHOW,2022,TV-MA,['drama'],['US'],tt8740976,6.8,54105.0
4839,Pieces of Her,SHOW,2022,TV-MA,"['crime', 'drama', 'thriller']",['US'],tt9170236,6.4,11322.0
4842,Conversations with a Killer: The John Wayne Gacy Tapes,SHOW,2022,TV-MA,"['crime', 'documentation']",['US'],tt18970124,7.2,3984.0
4845,Pacific Rim: The Black,SHOW,2021,TV-14,"['animation', 'action', 'scifi']",['US'],tt9288848,7.0,4796.0
4846,Vikings: Valhalla,SHOW,2022,TV-MA,"['war', 'action', 'drama', 'history', 'romance']",['US'],tt11311302,7.1,31330.0
4847,Arcane,SHOW,2021,TV-14,"['action', 'scifi', 'drama', 'fantasy', 'animation']",['US'],tt11126994,9.1,175412.0
4850,Hold Tight,SHOW,2022,TV-MA,"['crime', 'drama', 'thriller']",['PL'],tt15019128,6.1,1113.0
4851,Bad Vegan: Fame. Fraud. Fugitives.,SHOW,2022,TV-MA,"['crime', 'documentation']",['US'],tt18260538,5.8,2062.0
4852,Midnight Mass,SHOW,2021,TV-MA,"['action', 'drama', 'fantasy', 'horror', 'scifi']",['US'],tt10574558,7.7,102321.0
4854,Murderville,SHOW,2022,TV-MA,"['crime', 'comedy']",['US'],tt15264192,6.9,10414.0
4855,Clark,SHOW,2022,TV-MA,"['comedy', 'crime', 'drama', 'thriller', 'action']",['SE'],tt12304420,7.5,1991.0
4856,The Ultimatum: Marry or Move On,SHOW,2022,TV-MA,['reality'],['US'],tt18396952,5.4,1440.0
4858,Hard Cell,SHOW,2022,TV-MA,"['comedy', 'documentation', 'sport']","['US', 'GB']",tt14959710,6.1,618.0
4859,The Woman in the House Across the Street from the Girl in the Window,SHOW,2022,TV-MA,"['crime', 'comedy', 'drama', 'thriller']",['US'],tt13315324,6.3,38964.0
4860,Archive 81,SHOW,2022,TV-MA,"['scifi', 'drama', 'horror', 'thriller']",['US'],tt13365348,7.3,43068.0
4862,Jimmy Savile: A British Horror Story,SHOW,2022,TV-MA,"['crime', 'documentation']",['GB'],tt18970454,6.7,4711.0
4863,Squid Game,SHOW,2021,TV-MA,"['action', 'drama', 'thriller']",['KR'],tt10919420,8.0,416738.0
4866,Yakamoz S-245,SHOW,2022,TV-MA,"['scifi', 'action', 'drama', 'thriller']",['TR'],tt13317454,6.1,3861.0
4870,Welcome To Eden,SHOW,2022,TV-MA,"['drama', 'action', 'thriller']",['ES'],tt13457822,4.9,973.0
4873,Stay Close,SHOW,2021,TV-MA,"['crime', 'drama', 'thriller']",['GB'],tt2201227,6.9,28669.0
4874,Maid,SHOW,2021,TV-MA,"['drama', 'comedy']",['US'],tt11337908,8.4,74955.0
4875,The Marked Heart,SHOW,2022,TV-MA,"['thriller', 'drama']",['CO'],tt18974572,6.3,1103.0
4876,Meltdown: Three Mile Island,SHOW,2022,TV-14,"['documentation', 'history']",['US'],tt19757508,7.0,958.0
4877,Shadow and Bone,SHOW,2021,TV-14,"['scifi', 'drama', 'fantasy', 'action']",['US'],tt2403776,7.6,77782.0
